word	lemma	pos	wordfreq	lemfreq
names	name	n	67229	361916
idea	idea	n	264704	358006
ideas	idea	n	93302	358006
room	room	n	322540	357682
rooms	room	n	35142	357682
percent	percent	n	357395	357515
percents	percent	n	91	357515
per-cent	percent	n	29	357515
far	far	r	258381	357192
further	far	r	84817	357192
farther	far	r	13099	357192
farthest	far	r	550	357192
furthest	far	r	345	357192
away	away	r	355515	355515
law	law	n	276417	354958
laws	law	n	78541	354958
actually	actually	r	353857	353857
large	large	j	218116	353703
larger	large	j	74657	353703
largest	large	j	60930	353703
though	though	c	352608	352608
provide	provide	v	160610	351941
provided	provide	v	77215	351941
provides	provide	v	65301	351941
providing	provide	v	48815	351941
lost	lose	v	188655	351650
lose	lose	v	98897	351650
losing	lose	v	52271	351650
loses	lose	v	11827	351650
power	power	n	316185	351483
powers	power	n	35298	351483
kids	kid	n	244401	351451
kid	kid	n	107050	351451
war	war	n	316055	350575
wars	war	n	34399	350575
warred	war	n	121	350575
understand	understand	v	260832	349141
understood	understand	v	48143	349141
understanding	understand	v	25030	349141
understands	understand	v	15071	349141
under-stand	understand	v	59	349141
under-standing	understand	v	6	349141
head	head	n	305041	348664
heads	head	n	43616	348664
heading	head	n	7	348664
mother	mother	n	317758	348470
mothers	mother	n	30697	348470
moth-er	mother	n	15	348470
real	real	j	348112	348239
realer	real	j	72	348239
realest	real	j	55	348239
best	best	j	347992	348202
bestest	best	j	210	348202
team	team	n	279385	348063
teams	team	n	68678	348063
eyes	eye	n	250976	347153
eye	eye	n	96177	347153
long	long	r	219956	345462
longer	long	r	123823	345462
longest	long	r	1683	345462
long	long	j	304483	345005
longer	long	j	31804	345005
longest	long	j	8718	345005
side	side	n	283887	342841
sides	side	n	58954	342841
water	water	n	322723	342574
waters	water	n	19851	342574
young	young	j	273963	341002
younger	young	j	55200	341002
youngest	young	j	11839	341002
wait	wait	v	202393	339926
waiting	wait	v	98445	339926
waited	wait	v	32430	339926
waits	wait	v	6658	339926
okay	okay	r	339646	339699
o-kay	okay	r	53	339699
both	both	d	338454	338454
yet	yet	r	338408	338408
after	after	c	334050	334050
meet	meet	v	154553	333954
met	meet	v	125147	333954
meeting	meet	v	37988	333954
meets	meet	v	16266	333954
service	service	n	189557	332313
services	service	n	142756	332313
area	area	n	212812	331866
areas	area	n	119054	331866
important	important	j	331610	331646
impor-tant	important	j	36	331646
person	person	n	297155	330987
persons	person	n	33787	330987
per-son	person	n	45	330987
hey	hey	u	330236	330236
thank	thank	v	320733	330129
thanked	thank	v	5271	330129
thanking	thank	v	2805	330129
thanks	thank	v	1320	330129
much	much	r	329230	329230
someone	someone	p	328933	328998
some-one	someone	p	65	328998
end	end	n	305011	328699
ends	end	n	23688	328699
change	change	v	165752	327637
changed	change	v	110107	327637
changing	change	v	38154	327637
changes	change	v	13624	327637
however	however	r	326015	326015
only	only	j	325875	325917
onliest	only	j	42	325917
around	around	r	324064	324064
hours	hour	n	205126	323999
hour	hour	n	118873	323999
everything	everything	p	323679	323760
every-thing	everything	p	81	323760
national	national	j	321960	321960
four	four	m	318242	319834
fours	four	m	1592	319834
line	line	n	232649	319492
lines	line	n	86843	319492
girl	girl	n	198521	319120
girls	girl	n	120599	319120
around	around	i	318942	318942
watch	watch	v	135170	318772
watching	watch	v	106853	318772
watched	watch	v	65729	318772
watches	watch	v	11020	318772
until	until	c	318392	318392
father	father	n	298634	318173
fathers	father	n	19522	318173
fa-ther	father	n	13	318173
sit	sit	v	107677	315022
sitting	sit	v	89691	315022
sat	sit	v	89451	315022
sits	sit	v	27948	315022
siting	sit	v	255	315022
create	create	v	128135	314631
created	create	v	105662	314631
creating	create	v	58051	314631
creates	create	v	22783	314631
information	information	n	314179	314341
informations	information	n	140	314341
in-formation	information	n	22	314341
car	car	n	244367	313437
cars	car	n	69070	313437
learn	learn	v	142963	312649
learned	learn	v	103201	312649
learning	learn	v	58901	312649
learns	learn	v	5869	312649
learnt	learn	v	1715	312649
least	least	r	311569	311569
already	already	r	311502	311502
killed	kill	v	128811	307305
kill	kill	v	128182	307305
